subclone,parent,mutation,beta,fitness,cells,mutations,dob,dod,maxpop,deaths,mutation_selection,resistant,tumorid,finalsnapshot,year
0,-1,0.004710164966407065,0.9952898350335929,1.004710164966407,847335126,1,1,0,847335309,-655618020,1.0,0,AA9_300018,Y,27.0
89,0,0.006154888400945184,0.9891639371723661,1.010836062827634,326,2,2858,0,357,32065,9.988978089126022E-9,1,AA9_300018,Y,27.0
92,0,0.006527332317902475,0.9887932475276984,1.0112067524723016,14334,2,2864,0,14350,650476,3.448767493807736E-9,1,AA9_300018,Y,27.0
110,0,0.0013707976168681937,0.9939254940996357,1.0060745059003642,436,2,2891,0,461,37045,5.323395835254985E-9,1,AA9_300018,Y,27.0
132,0,0.032017302746909566,0.9634233390644007,1.0365766609355993,138057493,2,2923,0,138057502,1819219568,1.817696215766773E-9,1,AA9_300018,Y,27.0
163,0,0.007408019137463037,0.9879167088883416,1.0120832911116584,2030,2,2971,0,2038,116286,7.229964071875372E-9,1,AA9_300018,Y,27.0
234,0,0.004019244407929026,0.9912895219298655,1.0087104780701344,16,2,3050,0,203,11897,6.256681617244908E-9,1,AA9_300018,Y,27.0
305,0,0.026611880933123912,0.9688033004497304,1.0311966995502697,7156,2,3111,0,7158,116851,1.8363044418379104E-10,1,AA9_300018,Y,27.0
335,0,0.08608646466547475,0.9096088518180673,1.0903911481819328,23077916,2,3129,0,23077934,116087236,3.5658046515507635E-9,1,AA9_300018,Y,27.0
387,0,0.008186697465957697,0.98714169826323,1.01285830173677,662,2,3159,0,791,26990,2.12827566681284E-9,1,AA9_300018,Y,27.0
403,0,0.05399975798114086,0.9415444248206892,1.0584555751793108,146228,2,3171,0,146232,1188229,2.829650957991703E-10,1,AA9_300018,Y,27.0
431,0,0.039738650763637556,0.9557383598705945,1.0442616401294056,16758,2,3184,0,16761,184307,6.319099465912359E-9,1,AA9_300018,Y,27.0
505,0,0.00297296292821774,0.9923308752512061,1.0076691247487939,158,2,3210,0,222,5423,8.183158928254386E-9,1,AA9_300018,Y,27.0
518,0,0.007377079992709372,0.9879475023046196,1.0120524976953804,404,2,3217,0,467,9982,3.3677360899986297E-10,1,AA9_300018,Y,27.0
530,0,7.363220068428422E-4,0.9945569812248707,1.0054430187751293,138,2,3220,0,174,4133,8.369240855898852E-9,1,AA9_300018,Y,27.0
559,0,0.008928143351628845,0.986403744709994,1.013596255290006,132,2,3230,0,143,1987,4.50988346667458E-9,1,AA9_300018,Y,27.0
622,0,0.024032510430918898,0.9713705216913605,1.0286294783086394,872,2,3254,0,875,7697,9.136426060152303E-10,1,AA9_300018,Y,27.0
650,0,0.007459762111905687,0.9878652096318444,1.0121347903681555,74,2,3263,0,86,1230,4.24693380463026E-9,1,AA9_300018,Y,27.0
660,0,0.004494881488891687,0.9908161251780184,1.0091838748219817,18,2,3266,0,90,1101,8.939707085708903E-9,1,AA9_300018,Y,27.0
713,0,0.04473975982138045,0.9507608068615286,1.0492391931384715,28,2,3283,0,30,243,6.308066291538239E-10,1,AA9_300018,Y,27.0
760,0,0.005316416364923553,0.9899984598667783,1.0100015401332216,2,2,3295,0,32,246,1.2358845058457746E-9,1,AA9_300018,Y,27.0
774,0,0.015712087301545503,0.9796517542552043,1.0203482457447957,10,2,3298,0,29,218,7.664443080201977E-9,1,AA9_300018,Y,27.0
782,0,0.0043429079999848024,0.9909673828467219,1.0090326171532782,18,2,3300,0,32,251,4.4739656424042096E-10,1,AA9_300018,Y,27.0
783,0,0.023168246743715613,0.9722307145540225,1.0277692854459775,20,2,3300,0,40,397,3.4674120241717787E-9,1,AA9_300018,Y,27.0
794,0,0.01832622252672198,0.9770499320381829,1.022950067961817,6,2,3302,0,11,76,2.3104196333889604E-10,1,AA9_300018,Y,27.0
812,0,5.306328312216824E-4,0.9947617015705429,1.005238298429457,2,2,3307,0,8,39,3.9362100245909915E-9,1,AA9_300018,Y,27.0
833,0,0.009870214683390817,0.9854661106896148,1.0145338893103852,2,2,3313,0,13,67,1.0915234271990926E-9,1,AA9_300018,Y,27.0
877,0,0.02124692707983587,0.9741429844853323,1.0258570155146676,2,2,3322,0,13,39,3.6093824595795354E-9,1,AA9_300018,Y,27.0
880,0,0.0011337344188985308,0.9941614406908355,1.0058385593091645,18,2,3323,0,24,58,4.050028756807933E-9,1,AA9_300018,Y,27.0
885,0,0.05111121839115617,0.9444193589126931,1.0555806410873068,10,2,3323,0,11,27,1.8871092466454797E-9,1,AA9_300018,Y,27.0
893,0,0.014144927203153242,0.9812115327710044,1.0187884672289957,4,2,3324,0,5,12,4.6469795789150226E-9,1,AA9_300018,Y,27.0
894,0,0.0018493253638752207,0.993449220297258,1.006550779702742,16,2,3324,0,19,31,2.320277969758422E-9,1,AA9_300018,Y,27.0
908,0,0.005121560959713936,0.9901923974708847,1.0098076025291154,4,2,3327,0,5,10,5.8340076103391425E-9,1,AA9_300018,Y,27.0
912,0,0.016495192281624858,0.9788723378287671,1.0211276621712329,12,2,3328,0,12,8,8.820066565995432E-9,1,AA9_300018,Y,27.0
920,132,0.005228371746302351,0.9583862036987082,1.041613796301292,4,3,3329,0,4,5,3.3262466114791778E-9,1,AA9_300018,Y,27.0
923,0,0.0012556582737901607,0.9940400911174138,1.0059599088825864,6,2,3330,0,8,8,5.227688060216451E-9,1,AA9_300018,Y,27.0
931,0,0.01653661325606544,0.9788311119539492,1.0211688880460508,4,2,3331,0,4,3,9.191282734910544E-9,1,AA9_300018,Y,27.0
933,0,0.023485525206367385,0.9719149305252702,1.0280850694747299,6,2,3332,0,6,1,1.963557316742026E-9,1,AA9_300018,Y,27.0
934,0,0.0046808633573135385,0.9906310193148775,1.0093689806851225,2,2,3332,0,2,2,2.537431931237677E-9,1,AA9_300018,Y,27.0
936,0,0.0027472777001211093,0.992555497464648,1.007444502535352,4,2,3332,0,5,2,3.8340595143182554E-9,1,AA9_300018,Y,27.0
